name	version	repository	architecture	download_bytes	url	sha256
libwacom	2.20.0-1	extra	aarch64	186028	http://mirror.archlinuxarm.org/aarch64/extra/libwacom-2.20.0-1-aarch64.pkg.tar.xz	65244f94217eb53ae252696e94edc8767a7f9e00d2923a15bdf2e79ec6a5aa32
libwebp	1.6.0-2	extra	aarch64	239984	http://mirror.archlinuxarm.org/aarch64/extra/libwebp-1.6.0-2-aarch64.pkg.tar.xz	0fb38b71173ed214640ab0b6d5ad22d85f884f4d368ca9fef927b51ee43d0f9e
libx11	1.8.13-1	extra	aarch64	2011676	http://mirror.archlinuxarm.org/aarch64/extra/libx11-1.8.13-1-aarch64.pkg.tar.xz	e68195a71049251a68c5073c2baebc0f2bba41dbdfada5a41dbbd28a37040f3c
libxau	1.0.12-1	extra	aarch64	11664	http://mirror.archlinuxarm.org/aarch64/extra/libxau-1.0.12-1-aarch64.pkg.tar.xz	f9abaead8ca4f0d4f9a6e181c3fcad8f96ddb9cf1d75d1d82a81c0ca8ad08a50
libxcb	1.17.0-1	extra	aarch64	996228	http://mirror.archlinuxarm.org/aarch64/extra/libxcb-1.17.0-1-aarch64.pkg.tar.xz	329a41249a09b4bb7f9b5f9694c1848c971188243cc1c0a479df4227800214c0
libxcomposite	0.4.7-1	extra	aarch64	11676	http://mirror.archlinuxarm.org/aarch64/extra/libxcomposite-0.4.7-1-aarch64.pkg.tar.xz	37f2d1eb8e2eeef41c0b6cc290aba66ed1783ada5657801929d5390893383978
libxcursor	1.2.3-1	extra	aarch64	32412	http://mirror.archlinuxarm.org/aarch64/extra/libxcursor-1.2.3-1-aarch64.pkg.tar.xz	9102597b8989250aa23379202a95ae15e2c7816e573d9bc81bc1bf4bc77b646f
libxcvt	0.1.3-1	extra	aarch64	10556	http://mirror.archlinuxarm.org/aarch64/extra/libxcvt-0.1.3-1-aarch64.pkg.tar.xz	4eadab34ee20d01d83f4b46dc040ec0de0e468b754be0c184d55d8fddd966d8a
libxdmcp	1.1.5-2	extra	aarch64	26648	http://mirror.archlinuxarm.org/aarch64/extra/libxdmcp-1.1.5-2-aarch64.pkg.tar.xz	aaf3575b4139a0ee675cbc15c03324d09892ded2188ac7cc326a8b36ef308496
libxext	1.3.7-1	extra	aarch64	103732	http://mirror.archlinuxarm.org/aarch64/extra/libxext-1.3.7-1-aarch64.pkg.tar.xz	bff987768ac6bb9ed809d49f3c171c93ccf0c7264c59ec7b0940e844ba4e53ac
libxfixes	6.0.2-1	extra	aarch64	13844	http://mirror.archlinuxarm.org/aarch64/extra/libxfixes-6.0.2-1-aarch64.pkg.tar.xz	be025023ed05babf0372515e8346128f5dd7eccd82fd51be6c3c88eb8881d7a2
libxfont2	2.0.9-1	extra	aarch64	88360	http://mirror.archlinuxarm.org/aarch64/extra/libxfont2-2.0.9-1-aarch64.pkg.tar.xz	cc74f8a2d3377f068b5f3c35619e333c1a331254298625666eac84a533b30347
